Bottom Zone List for /home/santhosh/work/fonts/Malini/fonts/Malini/otf/Malini-Regular.otf on Mon Jan 23 15:29:25 2023
count   height    glyphs
   32      -42    [ml_ii ml_nna_virama_nna ml_nna_virama_nna_sign_u ml_nna_virama_nna_sign_uu ml_na_virama_rra ml_rra_virama_rra ml_sha_virama_na ml_sha_virama_sha ml_sha_virama_sha_sign_u ml_sha_virama_sha_sign_uu ml_sa_virama_ta ml_sa_virama_na ml_sa_virama_rra_virama_rra ml_sa_virama_sa ml_sign_vocalic_l ml_sign_vocalic_ll ml_chillu_n_virama_rra ml_na_virama_rra_sign_u ml_na_virama_rra_sign_uu ml_chillu_n_virama_rra_sign_u ml_chillu_n_virama_rra_sign_uu ml_sa_virama_sa_sign_u ml_sa_virama_sa_sign_uu ml_rra_virama_rra_sign_u ml_rra_virama_rra_sign_uu]
    2      -41    [five]
    1      -40    [ml_sa_virama_ta_virama_ra]
    1      -39    [ml_tta_sign_vocalic_r]
    1      -36    [underscore]
   63      -35    [three eight Euro Q U eth ml_anusvara ml_i ml_ii ml_u ml_uu ml_nga_virama_ka_virama_ra ml_ta_virama_sa ml_lla ml_lla_virama_lla ml_fraction_one_twentieth ml_fraction_three_twentieths ml_fraction_one_fifth ml_archaic_ii ml_digit_seven ml_fraction_three_sixteenths Ucircumflex Uacute Uring Umacron Ugrave Udieresis Utilde Ubreve Uogonek Uhungarumlaut ml_lla_sign_u ml_lla_sign_uu ml_ta_virama_sa_sign_u ml_ta_virama_sa_sign_uu ml_lla_virama_lla_sign_u ml_lla_virama_lla_sign_uu ml_nga_virama_ka_virama_ra_sign_u ml_nga_virama_ka_virama_ra_sign_uu]
    3      -34    [ml_ka_virama_ka_sign_u]
   14      -32    [ml_ga_virama_da ml_da ml_da_virama_da uni1E9E ml_da_sign_u ml_da_sign_uu ml_ga_virama_da_sign_u ml_ga_virama_da_sign_uu ml_da_virama_da_sign_u ml_da_virama_da_sign_uu]
   20      -31    [Oslash braceleft braceright ml_ga_virama_da_virama_dha ml_ga_virama_da_virama_dha_virama_ra ml_nna_virama_ttha ml_pa_virama_la ml_ga_virama_da_virama_dha_sign_u ml_ga_virama_da_virama_dha_sign_uu ml_ga_virama_da_virama_dha_virama_ra_sign_u ml_ga_virama_da_virama_dha_virama_ra_sign_uu]
    6      -30    [ml_ka_sign_u ml_nga_virama_ka_sign_u]
    4      -28    [registered germandbls]
    6      -27    [ml_o ml_oo]
   14      -26    [ogonek ogonekcmb percent ml_vedic_anusvara ml_au ml_vocalic_rr aogonek eogonek uogonek Uogonek]
    2      -25    [ml_visarga]
   28      -23    [u_drop_sign uu_drop_sign ml_nga_virama_nga ml_tta ml_ra_sign_u ml_kha_sign_u ml_kha_sign_uu ml_gha_sign_u ml_gha_sign_uu ml_tta_sign_uu ml_ttha_sign_u ml_llla_sign_u ml_ka_virama_ssa_sign_u ml_ka_virama_ssa_sign_uu ml_nga_virama_nga_sign_u ml_nga_virama_nga_sign_uu ml_nya_virama_ca_sign_u ml_nya_virama_ca_sign_uu ml_ja_virama_nya_sign_u ml_ja_virama_nya_sign_uu ml_ta_virama_tha_sign_u ml_ta_virama_tha_sign_uu ml_sa_virama_tha_sign_u ml_sa_virama_tha_sign_uu]
   15      -22    [b ml_ja_virama_nya ml_da_virama_dha ml_da_virama_dha_virama_ra ml_ba_virama_da ml_sign_au ml_tta_sign_u ml_da_virama_dha_sign_u ml_da_virama_dha_sign_uu ml_da_virama_dha_virama_ra_sign_u ml_da_virama_dha_virama_ra_sign_uu]
